rcept_no,reprt_code,bsns_year,corp_code,sj_div,sj_nm,account_id,account_nm,account_detail,thstrm_nm,thstrm_amount,frmtrm_nm,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_amount,ord,currency,thstrm_add_amount,frmtrm_q_nm,frmtrm_q_amount,frmtrm_add_amount,ticker,corp_name,fs_div
20260515001253,11013,2026,00878696,CF,현금흐름표,dart_IncreaseInLoans,종업원장기대여금의 증가,-,제 16 기 1분기,74869676,,,,,15,KRW,,제 15 기 1분기,0,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 취득,-,제 16 기 1분기,0,,,,,16,KRW,,제 15 기 1분기,833634762,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,dart_PurchaseOfShortTermFinancialInstruments,단기금융상품의 취득,-,제 16 기 1분기,62908579,,,,,17,KRW,,제 15 기 1분기,70635070,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,무형자산의 취득,-,제 16 기 1분기,1530832996,,,,,18,KRW,,제 15 기 1분기,359141467,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,ifrs-full_PurchaseOfInterestsInInvestmentsAccountedForUsingEquityMethod,공동기업투자주식의 취득,-,제 16 기 1분기,2854000000,,,,,19,KRW,,제 15 기 1분기,0,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,ifrs-full_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,유형자산의 취득,-,제 16 기 1분기,1412764568,,,,,20,KRW,,제 15 기 1분기,118283189,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동으로 인한 현금흐름,-,제 16 기 1분기,17917846935,,,,,21,KRW,,제 15 기 1분기,27285958521,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,운전자본 조정,-,제 16 기 1분기,-96747722740,,,,,22,KRW,,제 15 기 1분기,-16031180594,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,ifrs-full_AdjustmentsForReconcileProfitLoss,비현금항목 조정,-,제 16 기 1분기,12216912744,,,,,23,KRW,,제 15 기 1분기,24751287469,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세의 납부,-,제 16 기 1분기,912816541,,,,,24,KRW,,제 15 기 1분기,555813376,,326030,에스케이바이오팜,CFS
20260515001253,11013,2026,00878696,CF,현금흐름표,ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,-,제 16 기 1분기,940792879,,,,,25,KRW,,제 15 기 1분기,2271663163,,326030,에스케이바이오팜,CFS
